No,NAME,FOLLOWERS,ER,COUNTRY,Topic_of_Influence,POTENTIAL_REACH
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234000000,-,India,,70200000
2,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139000000,-,India,,41700000
3,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91400000,-,India,,27400000
4,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72000000,-,India,,21600000
5,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69200000,-,India,,20800000
6,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64000000,-,India,,19200000
7,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61100000,-,India,,18300000
8,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59200000,-,India,,17800000
9,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58700000,-,India,,17600000
10,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56500000,-,India,,17000000
11,Wave Music @bhojpuriwave,55600000,-,India,,16700000
12,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55300000,-,India,,16600000
13,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54000000,-,India,,16200000
14,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48400000,-,India,,14500000
15,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46600000,-,India,,14000000
16,CarryMinati @carryminati,41600000,9.20%,India,Video Gaming,12500000
17,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41200000,-,India,Celebrity,12400000
18,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41100000,-,India,Music,12300000
19,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39300000,-,India,,11800000
20,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38500000,-,India,Music Celebrity,11600000
21,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35600000,-,India,,10700000
22,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33600000,-,India,,10100000
23,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33600000,0.20%,India,Video Gaming,10100000
24,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33500000,-,India,,10100000
25,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33000000,1.80%,India,,9900000
26,Bollywood Classics @UCRm96I5kmb_iGFofE5N691w,32700000,-,India,,9800000
27,Saregama Music @UC_A7K2dXFsTMAciGmnNxy-Q,32100000,-,India,,9600000
28,Rajshri @UCEKWXRsfUHkan-D_ljU8Asw,31900000,-,India,,9600000
29,IndiaTV @UCttspZesZIDEwwpVIgoZtWQ,31600000,-,India,,9500000
30,Eros Now Music @UCX52tYZiEh_mHoFja3Veciw,31100000,-,India,,9300000
31,MR. INDIAN HACKER @UCSiDGb0MnHFGjs4E2WKvShw,29800000,-,India,,8900000
32,Zee News @UCIvaYmXn910QMdemBG3v1pQ,28700000,-,India,,8600000
33,Techno Gamerz @UCX8pnu3DYUnx8qy8V_c6oHg,28100000,0.90%,India,News Video Gaming,8400000
34,Wow Kidz @UCN8S4CqMRy6tVKVXvs7Bzeg,27600000,-,India,,8300000
35,infobells - Tamil @UCHcn4Ux-sO9nzNu7rDsoQLg,27100000,-,India,Marketing and Advertising Education,8100000
36,infobells - Telugu @UCHvoq_rGmOKJKGId1nD1V4Q,26500000,-,India,,8000000
37,BB Ki Vines @UCqwUrj10mAEsqezcItqvwEw,25500000,6%,India,Education Celebrity Business and Finance,7700000
38,Shemaroo Movies @UCBOmfqgTZi7yDp4-3Lr_3lA,22600000,-,India,,6800000
39,White Hill Music @UCopY0NAzASqmD6eVaRj2TFQ,22400000,-,India,,6700000
40,Technical Guruji @UCOhHO2ICt0ti9KAh-QHvttQ,22200000,-,India,,6700000
41,Venus Movies @UCpcsv3Ow-8IhoUGDEfPetsQ,21800000,-,India,,6500000
42,Wave Music Bhojpuri @UCYLlkv4hivYJlOk6Lo-RHNQ,21800000,-,India,,6500000
43,Crazy XYZ @UCebC4x5l2-PQxg46Ucv9CsA,21700000,1.30%,India,,6500000
44,Dushyant kukreja @UCo6y9hnRawAqtyWhRhblXqg,21300000,-,India,,6400000
45,Pen Movies @UC3ar28GS6o1p0m_wabfk2zw,21100000,-,India,Celebrity,6300000
46,Ultra Movie Parlour @UCYauDsl-rswjQGpA0_-Z9Pw,20800000,-,India,,6200000
47,Netflix India @UCZSNzBgFub_WWil6TOTYwAg,20600000,-,India,Celebrity,6200000
48,Dr. Vivek Bindra: Motivational Speaker @UCR-foyF-C6VuAlwy3KZMkgA,20500000,-,India,,6200000
49,Goldmines Cineplex @UCCrw5RBWF9i8VPt4IxL8IsQ,20400000,-,India,Celebrity,6100000
50,StarPlus @UC-LPIU24bQXVljUXivKEeRQ,20100000,-,India,,6000000
51,DLS News @UCw0ry7cLRUnq3Oaszlhgqfg,19000000,-,India,,5700000
52,Heidi & Zidane बच्चों की कहानियाँ @UCC9Iz-AebxsyVF4iZagOtwA,18900000,-,India,,5700000
53,Green Gold TV - Official Channel @UCiBigY9XM-HaOxUc269ympg,18700000,-,India,,5600000
54,Khan GS Research Centre @UCatL-c6pmnjzEOHSyjn-sHA,18200000,3.80%,India,,5500000
55,etvteluguindia @UCSs9H1cyB3OHdy8wkit8ZKg,17800000,-,India,Celebrity Business and Finance Education Television,5300000
56,Sun TV @UCBnxEdpoZwstJqC1yZpOjRA,17600000,-,India,,5300000
57,Triggered Insaan @UCfLuT3JwLx8rvHjHfTymekw,17500000,-,India,Books,5300000
58,Dangal TV Channel @UCNzmmbXIbMzlqE8nD1PBXfg,17300000,-,India,,5200000
59,Stubborn Facts @UCJZ5gFXzSZ9i-R1HEnS8U_A,17300000,-,India,Celebrity,5200000
60,Sidhu Moose Wala @UC9ChdqQRCaZmTCwSJ49tcbw,17100000,5.90%,India,,5100000
61,Village Cooking Channel @UCk3JZr7eS3pg5AGEvBdEvFg,17100000,1%,India,,5100000
62,Busy Fun Ltd @UCkKDpnzIG29MA--Sh6oOtWg,16900000,-,India,,5100000
63,Kiddiestv Hindi - Nursery Rhymes & Kids Songs @UCvEAgG7WzPZnZkf9iOV_YCg,16700000,-,India,,5000000
64,Wow Kidz Action @UCCyKsYaRi62axS-kasXW7wA,16600000,-,India,,5000000
65,Prajapati News @UCl_Ksy6Yi1b4eEZ46FInb_w,16100000,-,India,,4800000
66,Zappy Toons - Hindi Nursery Rhymes and Stories @UCcryiZdagSR9M-Oii_Y4OfQ,15900000,-,India,,4800000
67,Aayu and Pihu Show @UCFcBAGR0drI3F15EhMFjuTg,15800000,0.40%,India,Celebrity,4700000
68,RKD Studios @UCjBwQ6M9QyCgO5Pp-TQRFUA,15700000,-,India,Video Gaming,4700000
69,And TV @UCxJcrDUc8awRSLzLbnIiAmQ,15700000,-,India,,4700000
70,SriBalajiMovies @UCoy3dQzEdq1y2zMnT4pdj3Q,15500000,-,India,,4700000
71,Taarak Mehta Ka Ooltah Chashmah @UCnSFZ-olBoLGLRUS_3RI2Aw,15200000,-,India,,4600000
72,NDTV India @UC9CYT9gSNLevX5ey2_6CK0Q,15100000,-,India,,4500000
73,Volga Video @UCIeNlITYK46VkR7yIuTL8GQ,15000000,-,India,,4500000
74,Harsh Beniwal @UCVmEbEQUGXHVm-O9pqa3JWg,15000000,10.30%,India,,4500000
75,Fun For Kids TV - Hindi Rhymes @UCe3GjNY3Kqi8Xd6nT4JN_6w,14500000,-,India,,4400000
76,Gyan Gamingㅤ @UChXi_PlJkRMPYFQBOJ3MpxA,14400000,-,India,Video Gaming,4300000
77,Team Films Bhojpuri @UCB4SvelHl4qjFSNYfxhp-SQ,14400000,-,India,,4300000
78,Shorts Break @UCgJ5_1F6yJhYLnyMszUdmUg,14300000,4.30%,India,,4300000
79,SRK MUSIC @UCAH1Aw-mXgcB3t8uaqW4yTA,14200000,-,India,,4300000
80,Mazhavil Manorama @UCUPD0jQo-EP0B1Nf4uzeIMA,14000000,-,India,,4200000
81,DM - Desi Melodies @UC783dnzJqf2ghHp_pFLYbGA,14000000,-,India,,4200000
82,ZEE5 @UCXOgAl4w-FQero1ERbGHpXQ,13900000,-,India,,4200000
83,Sony Music South @UCn4rEMqKtwBQ6-oEwbd4PcA,13800000,-,India,,4100000
84,MY FAMILY @UC4B6dDVB0Umrh5l4UgxUtyg,13800000,0.10%,India,Celebrity,4100000
85,Online Job @UCL3IoeeHKzWMxZxhmnmETjw,13500000,-,India,,4100000
86,infobells @UCU_AsfgtKjwR4qaSwgsWn-w,13500000,-,India,,4100000
87,The MriDul @UC0zXnLIFedO97pFsyMxZcFg,13300000,-,India,,4000000
88,MyMissAnand @UCpCWa9f5_J3PqY-_Lg-_QfQ,13200000,0.20%,India,,4000000
89,Anaysa @UCuN4A3GCUq5-0wJDSiJoxRQ,13200000,0.10%,India,Fashion Beauty,4000000
90,NishaMadhulika @UCgoxyzvouZM-tCgsYzrYtyg,13100000,-,India,,3900000
91,ETV Jabardasth @UCnoqvTW4YZExfDeq7_Wmd-w,13000000,-,India,,3900000
92,Mythpat @UCx6F-rETGiz7xf_vkMmX2yQ,13000000,-,India,Video Gaming,3900000
93,Desi Gamers @UCuApqv2tNQ73S7gcfrfCSDw,13000000,0.50%,India,,3900000
94,Zee Bangla @UCeMsqI6jU9WE2ctsrbxbywQ,13000000,-,India,,3900000
95,Lotus Music @UCJeeXUtsKBj89Ra1nszP4JQ,12900000,-,India,Music,3900000
96,CookingShooking Hindi @UCTbNOCtAGaqOEnLMeo3JTeg,12800000,-,India,,3800000
97,Zee Telugu @UC3PYGKK29qJ0zu-eEthHK4g,12700000,-,India,,3800000
98,Dear Sir @UC9dyrsYEmD4iGJ8Oz1G5dpw,12700000,-,India,,3800000
99,T-Series Hamaar Bhojpuri @UCpN-WGQgGsOrXm7nHXDdTDA,12600000,-,India,,3800000
100,Health Time @UCPMqs8vxEwbie26nFA3ykAw,12600000,-,India,,3800000
